job,popM,popF,peakAge,meanAge
속기사,15,85,28,38
행정사,120,80,35,48
취업알선원,45,105,32,42
한식조리사,320,280,32,44
중식조리사,150,90,33,45
양식조리사,180,120,33,45
일식조리사,160,80,34,46
바텐터,200,150,30,42
음료조리사,80,120,28,40
패스트푸드준비원,280,320,22,34
홀서빙원,350,450,23,35
주방보조원,280,220,24,36
음식배달원,800,400,25,37
경호원,350,50,38,50
청원경찰,120,30,32,44
시설·특수경비원,200,40,36,48
경비원,600,100,40,52
요양간호사 및 간병인,200,800,35,46
육아도우미,50,350,32,44
청소원,400,600,38,50
환경미화원 및 재활용품수거원,500,200,42,54
방역원,180,120,30,42
세탁원(다림질원),150,350,35,47
가사도우미,80,420,38,50
계기검침원 및 가스점검원,250,50,40,52
주차관리·안내원,180,120,35,47
검표원,100,150,30,42
부동산중개인,350,250,38,50
기술영업원,280,120,35,47
해외영업원,200,100,36,48
자동차영업원,320,180,35,47
제품광고영업원,250,200,33,45
상품중개인 및 경매사,180,120,40,52
텔레마케터,280,420,27,39
소규모판매점장,400,300,42,54
상점판매원,1200,1600,26,38
통신기기·서비스판매원,350,300,30,42
온라인판매원,450,550,27,39
상품대여원,150,150,32,44
노점 및 이동판매원,600,400,35,47
방문판매원,500,800,33,45
주유원,350,250,25,37
계산원,800,1200,24,36
매표원 및 복권판매원,200,300,28,40
홍보도우미 및 판촉원,250,450,26,38
항공기조종사,350,50,42,52
헬리콥터조종사,80,20,40,50
선장 및 항해사,180,20,45,55
선박기관사,150,30,46,56
철도·전동차기관사,400,100,45,55
항공교통관제사,200,150,38,50
선박교통관제사,120,80,40,52
철도교통관제사,180,120,40,52
신호원 및 수송원,250,50,38,50
택시운전원,800,200,48,58
버스운전원,600,200,46,56
화물차·특수차운전원,700,150,45,55
크레인·호이스트운전원,250,50,42,54
지게차운전원,300,100,40,52
택배원,600,400,28,40
우편물집배원,350,250,38,50
선박갑판원,200,30,38,50
하역·적재종사원,500,100,35,47
강구조물가공원 및 건립원,180,20,38,50
경량철골공,150,30,36,48
철근공,200,30,40,52
콘크리트공,250,30,40,52
