job,popM,popF,peakAge,meanAge
속기사,2,28,27,34
행정사,120,80,47,51
취업알선원,45,95,42,47
한식조리사,320,180,48,52
중식조리사,280,70,43,48
양식조리사,190,110,34,39
일식조리사,140,90,33,38
바텐터,85,65,28,31
음료조리사,30,70,26,32
패스트푸드준비원,120,280,24,29
홀서빙원,130,220,25,31
주방보조원,150,250,38,45
음식배달원,410,40,29,34
경호원,130,10,33,40
청원경찰,85,15,45,50
시설·특수경비원,200,20,42,48
경비원,680,120,59,62
요양간호사 및 간병인,25,525,54,58
육아도우미,3,97,52,56
청소원,180,720,58,62
환경미화원 및 재활용품수거원,450,150,56,61
방역원,95,25,45,50
세탁원(다림질원),35,165,51,56
가사도우미,5,195,55,59
계기검침원 및 가스점검원,110,10,43,48
주차관리·안내원,160,40,58,63
검표원,45,55,48,53
부동산중개인,340,260,46,50
기술영업원,210,30,38,43
해외영업원,170,90,34,39
자동차영업원,190,30,36,41
제품광고영업원,80,40,33,38
상품중개인 및 경매사,130,20,44,49
텔레마케터,55,245,29,35
소규모판매점장,180,220,49,54
상점판매원,210,490,27,33
통신기기·서비스판매원,140,110,28,32
온라인판매원,150,250,31,36
상품대여원,50,70,34,40
노점 및 이동판매원,190,160,52,57
방문판매원,70,130,48,54
주유원,95,25,30,36
계산원,80,520,26,32
매표원 및 복권판매원,30,170,42,50
홍보도우미 및 판촉원,60,340,24,28
항공기조종사,38,2,41,45
헬리콥터조종사,7,0,43,47
선장 및 항해사,65,2,48,52
선박기관사,55,1,46,51
철도·전동차기관사,48,1,44,49
항공교통관제사,22,8,37,42
선박교통관제사,12,2,40,45
철도교통관제사,35,5,42,47
신호원 및 수송원,55,15,39,44
택시운전원,950,30,58,62
버스운전원,520,25,54,58
화물차·특수차운전원,680,15,49,54
크레인·호이스트운전원,75,1,44,49
지게차운전원,240,12,41,46
택배원,510,60,34,40
우편물집배원,95,25,46,51
선박갑판원,40,1,43,49
하역·적재종사원,130,18,45,51
강구조물가공원 및 건립원,105,2,46,51
경량철골공,130,3,48,53
철근공,160,1,47,52
콘크리트공,140,2,49,54
건축석공,45,1,51,56
건축목공,210,3,50,55
전통건축기능원,18,0,53,58
조적원,85,1,50,56
미장공,110,2,51,56
방수공,90,1,47,53
단열공,65,1,45,51
타일·대리석시공원,120,2,46,52
도배공,95,8,48,54
유리부착원,40,1,44,50
건물도장공,130,10,45,51
섀시조립·설치원,55,1,42,48
배관공,250,3,47,53
공업배관공,140,1,44,50
건설·채굴기계운전원,170,1,48,54
광원·채석원 및 석재절단원,18,0,52,57
철로설치·보수원,28,1,47,53
점화·발파·화약관리원,12,0,45,51
잠수기능원,7,0,40,46
건설·채굴단순종사원,95,12,52,58
공업기계설치·정비원,180,5,45,51
승강기설치·정비원,45,1,43,49
물품이동장비설치·정비원,70,2,44,50
냉동·냉장·공조기설치·정비원,110,1,42,48
보일러설치·정비원,95,1,47,53
건설·광업기계설치·정비원,85,1,46,52
농업용 및 기타 기계장비설치·정비원,55,1,50,56
항공기정비원,42,3,38,44
헬리콥터정비원,8,0,40,46
선박정비원,65,1,42,48
철도기관차·전동차정비원,38,1,43,49
자동차정비원,280,8,40,46
오토바이정비원,35,1,35,41
자전거판매 및 수리원,25,2,42,50
금형원,95,2,43,49
금속공작기계조작원,190,10,45,51
냉·난방설비조작원,65,1,44,50
자동조립라인·산업용 로봇조작원,70,5,36,42
일반기계조립원,160,15,42,48
자동차조립원,210,8,38,44
자동차부품조립·검사원,130,25,37,43
선박조립원,75,1,41,47
금속가공제어장치조작원,85,3,39,45
금속가공기계조작원,140,12,44,50
판금원 및 판금기조작원,55,2,43,49
제관원 및 제관기조작원,48,1,45,51
단조원 및 단조기조작원,30,1,46,52
주조원 및 주조기조작원,38,2,47,53
용접원 및 용접기조작원,320,15,43,49
도장원(도장기조작원),110,18,40,46
도금·금속분무기조작원,45,5,41,47
유리·유리제품생산기계조작원,28,8,43,49
점토제품생산기계조작원,25,5,46,52
시멘트·광물제품생산기계조작원,40,3,47,53
광석·석제품생산기계조작원,22,1,48,54
산업전기공,180,5,42,48
내선전기공,220,8,41,47
외선전기공,95,2,43,49
사무용 전자기기설치·수리원,65,3,38,44
가전제품설치·수리원,85,5,39,45
발전·배전장치조작원,70,2,44,50
전기·전자설비조작원,55,4,42,48
전기부품·제품생산기계조작원,45,15,40,46
전자부품·제품생산기계조작원,60,35,38,44
전기·전자부품·제품조립원,80,70,36,42
컴퓨터설치·수리원,95,5,33,39
이동전화기수리원,45,8,32,38
방송장비설치·수리원,38,2,37,43
통신장비설치·수리원,55,4,38,44
방송·통신·인터넷케이블 설치·수리원,85,2,36,42
석유·천연가스제조제어장치조작원,35,1,42,48
화학물가공장치조작원,65,8,41,47
타이어·고무제품생산기계조작원,48,10,43,49
플라스틱제품생산기계조작원,55,18,42,48
화학제품생산기계조작원(고무·플라스틱 제외),40,12,41,47
고무·플라스틱 제품 조립원,35,22,40,46
상·하수도처리장치조작원,50,5,45,51
재활용 처리장치·소각로조작원,42,8,46,52
섬유제조기계조작원,28,32,44,50
직조기·편직기조작원,18,42,45,51
표백·염색기조작원,35,25,43,49
패턴사,12,68,38,44
재단사,25,55,42,48
재봉사,20,130,48,54
한복제조원,1,39,51,57
양장·양복제조원,28,52,44,50
의복·가죽·모피수선원,15,85,49,55
제화원,22,18,50,56
신발제조기계조작원 및 조립원,30,45,43,49
세탁기계조작원,18,42,47,53
제과·제빵원,45,95,32,38
떡제조원,5,55,50,56
정육원 및 도축원,90,20,46,52
김치·밑반찬 제조종사원,8,72,52,57
식품·담배등급원,12,28,44,50
육류·어패류·낙농품가공기계조작원,55,35,43,49
제분·도정기계조작원,38,12,47,53
곡물가공제품기계조작원,22,18,45,51
과실·채소기계조작원,15,25,46,52
음료제조기계조작원,40,15,42,48
인쇄기계조작원,85,20,44,50
사진인화·현상기조작원(사진수정 포함),18,32,36,42
목재가공기계조작원,55,5,48,54
펄프·종이제조장치조작원,42,8,46,52
종이제품생산기계조작원,35,22,44,50
가구제조·수리원,65,10,47,53
