job,popM,popF,peakAge,meanAge
속기사,3,15,31,34.5
행정사,45,5,52,55.2
취업알선원,12,35,38,41.3
한식조리사,110,480,48,51.2
중식조리사,55,5,42,45.8
양식조리사,48,22,29,33.1
일식조리사,38,7,37,40.4
바텐터,18,12,26,29.8
음료조리사,25,85,27,31.2
패스트푸드준비원,15,65,22,28.5
홀서빙원,45,160,25,34.2
주방보조원,30,220,54,56.1
음식배달원,280,10,32,36.4
경호원,42,3,28,31.5
청원경찰,115,5,38,41.2
시설·특수경비원,240,10,45,48.3
경비원,1800,20,66,67.4
요양간호사 및 간병인,80,1250,58,59.3
육아도우미,1,280,53,55.4
청소원,450,1650,61,62.8
환경미화원 및 재활용품수거원,410,30,51,53.4
방역원,32,3,46,49.2
세탁원(다림질원),65,45,55,57.1
가사도우미,1,340,56,58.2
계기검침원 및 가스점검원,45,115,48,50.7
주차관리·안내원,190,25,59,61.3
검표원,15,20,35,40.2
부동산중개인,620,540,50,52.4
기술영업원,480,35,38,41.1
해외영업원,210,120,32,35.6
자동차영업원,340,15,42,44.8
제품광고영업원,85,45,34,37.9
상품중개인 및 경매사,65,10,46,49.3
텔레마케터,25,480,39,42.4
소규모판매점장,580,420,47,50.1
상점판매원,310,650,36,41.2
통신기기·서비스판매원,110,75,29,32.6
온라인판매원,190,160,31,34.8
상품대여원,15,35,38,41.5
노점 및 이동판매원,110,95,57,59.4
방문판매원,40,320,48,51.3
주유원,75,15,22,33.5
계산원,35,680,44,47.2
매표원 및 복권판매원,12,45,41,45.3
홍보도우미 및 판촉원,8,95,31,35.4
항공기조종사,55,1,43,45.2
헬리콥터조종사,12,0,46,48.5
선장 및 항해사,140,2,38,42.1
선박기관사,115,1,39,42.8
철도·전동차기관사,110,3,37,40.6
항공교통관제사,11,7,35,38.4
선박교통관제사,9,2,38,41.7
철도교통관제사,14,1,41,43.9
신호원 및 수송원,38,2,43,46.2
택시운전원,2200,50,62,63.4
버스운전원,1150,30,52,54.1
화물차·특수차운전원,2450,20,50,52.3
크레인·호이스트운전원,145,2,44,46.8
지게차운전원,680,15,41,44.2
택배원,1420,60,41,43.9
우편물집배원,175,15,39,42.1
선박갑판원,160,2,47,49.6
하역·적재종사원,380,15,46,49.1
강구조물가공원 및 건립원,85,1,44,47.2
경량철골공,65,1,43,46.5
철근공,210,2,49,52.1
콘크리트공,185,2,51,53.4
건축석공,45,0,52,54.8
건축목공,310,2,53,55.3
전통건축기능원,25,0,56,58.1
조적원,75,1,54,56.3
미장공,115,2,53,55.6
방수공,95,8,51,53.8
단열공,35,2,47,50.1
타일·대리석시공원,165,4,43,46.2
도배공,45,140,48,51.4
유리부착원,28,1,45,47.9
건물도장공,195,25,52,54.6
섀시조립·설치원,75,1,43,46.1
배관공,340,3,46,48.9
공업배관공,155,2,42,45.3
건설·채굴기계운전원,210,2,48,50.9
광원·채석원 및 석재절단원,22,0,54,56.2
철로설치·보수원,35,1,45,47.6
점화·발파·화약관리원,12,0,44,47.1
잠수기능원,14,0,38,41.3
건설·채굴단순종사원,850,40,53,55.2
공업기계설치·정비원,420,5,41,44.3
승강기설치·정비원,115,1,34,37.6
물품이동장비설치·정비원,45,1,40,43.2
냉동·냉장·공조기설치·정비원,135,2,42,45.1
보일러설치·정비원,65,1,49,51.8
건설·광업기계설치·정비원,55,1,43,46.2
농업용 및 기타 기계장비설치·정비원,48,1,47,50.1
항공기정비원,125,4,31,35.2
헬리콥터정비원,15,0,39,42.6
선박정비원,65,1,42,45.4
철도기관차·전동차정비원,45,2,36,39.8
자동차정비원,840,10,38,42.1
오토바이정비원,55,1,41,44.6
자전거판매 및 수리원,28,1,52,54.8
금형원,95,2,41,44.3
금속공작기계조작원,380,12,42,45.1
냉·난방설비조작원,165,3,48,50.9
자동조립라인·산업용 로봇조작원,115,15,31,34.9
일반기계조립원,240,25,36,39.7
자동차조립원,480,20,39,42.4
자동차부품조립·검사원,210,185,35,39.1
선박조립원,320,8,40,43.3
금속가공제어장치조작원,110,8,37,40.5
금속가공기계조작원,240,15,43,46.1
판금원 및 판금기조작원,85,3,44,47.2
제관원 및 제관기조작원,65,1,45,47.8
단조원 및 단조기조작원,35,1,46,48.9
주조원 및 주조기조작원,45,2,47,49.8
용접원 및 용접기조작원,680,15,41,44.2
도장원(도장기조작원),145,12,43,46.3
도금·금속분무기조작원,75,8,45,47.9
유리·유리제품생산기계조작원,45,8,42,45.2
점토제품생산기계조작원,25,5,46,49.1
시멘트·광물제품생산기계조작원,65,6,45,48.3
광석·석제품생산기계조작원,35,2,48,51.2
산업전기공,185,3,39,42.6
내선전기공,420,8,41,44.5
외선전기공,95,1,42,45.1
사무용 전자기기설치·수리원,85,6,34,37.8
가전제품설치·수리원,240,8,36,39.9
발전·배전장치조작원,45,3,39,42.4
전기·전자설비조작원,155,12,38,41.5
전기부품·제품생산기계조작원,95,65,35,39.2
전자부품·제품생산기계조작원,165,145,33,37.6
전기·전자부품·제품조립원,140,280,34,38.5
컴퓨터설치·수리원,95,8,31,34.9
이동전화기수리원,45,12,29,33.1
방송장비설치·수리원,35,2,35,38.6
통신장비설치·수리원,115,5,36,39.4
방송·통신·인터넷케이블 설치·수리원,240,6,37,40.5
석유·천연가스제조제어장치조작원,38,2,38,41.3
화학물가공장치조작원,95,15,40,43.2
타이어·고무제품생산기계조작원,85,12,41,44.1
플라스틱제품생산기계조작원,210,65,42,44.9
화학제품생산기계조작원(고무·플라스틱 제외),145,25,39,42.6
고무·플라스틱 제품 조립원,65,95,38,41.8
상·하수도처리장치조작원,75,4,46,48.7
재활용 처리장치·소각로조작원,55,6,49,51.6
섬유제조기계조작원,45,65,46,49.3
직조기·편직기조작원,35,75,47,50.2
표백·염색기조작원,40,15,48,51.1
패턴사,15,45,43,46.5
재단사,45,35,49,51.9
재봉사,25,380,48,51.4
한복제조원,5,55,52,54.8
양장·양복제조원,35,85,51,53.9
의복·가죽·모피수선원,65,115,53,55.6
제화원,45,15,50,52.8
